Company,Units sold,Commission
men,19.96411773,3992.823546
white walkers,5.040456534,2713.301391
men,9.979072829,1995.814566
men,10.05034162,769.7702313
men,29.98327168,900.0340897
white walkers,15.05700454,3828.052002
white walkers,2.500384944,97.88741058
men,12.60656007,1165.54067
white walkers,4.965603089,1976.158793
white walkers,50.21180747,12257.73004
white walkers,12.57008121,2904.472457
men,93.06606678,12701.68762
white walkers,12.46146356,24074.76467
men,5.021423048,967.1334419
men,4.969346727,4969.346727
men,60.30910531,39429.39498
white walkers,2.475896333,367.6330919
white walkers,4.977341278,1418.542264
men,4.974125706,746.1188559
men,39.91258278,1995.629139
men,7.532300655,763.4833382
men,2.516181865,403.8633658
men,163.6656048,7886.066977
white walkers,2.500870773,1982.341604
white walkers,2.502471013,1262.714731
white walkers,17.56902614,2083.78728
men,2.523181114,1261.590557
white walkers,7.562037637,7518.199738
white walkers,2.495235846,1053.611563
